game_id,game_order,event,site,date_played,round,white,black,result,white_elo,white_rating_diff,black_elo,black_rating_diff,white_title,black_title,winner,winner_elo,loser,loser_elo,winner_loser_elo_diff,eco,termination,time_control,utc_date,utc_time,variant,ply_count,date_created,file_name
72dbf988-f725-413a-a5b5-c629504b5c04,1,Live Chess,Chess.com,2023.07.12,-,jibrealfiaraz,0utclass,0-1,757,,816,,,,0utclass,816,jibrealfiaraz,757,59,,0utclass won by resignation,180,,,,,2023-07-21T17:47:17+0000,blitz.pgn
8081c66b-0200-42c5-b3d2-e4fa3c7403f4,2,Live Chess,Chess.com,2023.07.12,-,RakhimovAlijon,jibrealfiaraz,1-0,777,,749,,,,RakhimovAlijon,777,jibrealfiaraz,749,28,,RakhimovAlijon won on time,180,,,,,2023-07-21T17:47:17+0000,blitz.pgn
be21b775-bd87-4495-8a68-32d49eb857a0,3,Live Chess,Chess.com,2023.07.12,-,Prettiflvko,jibrealfiaraz,0-1,748,,757,,,,jibrealfiaraz,757,Prettiflvko,748,9,,jibrealfiaraz won by resignation,180,,,,,2023-07-21T17:47:17+0000,blitz.pgn
ece83d2e-fc79-4252-a402-2c01c2408d9b,4,Live Chess,Chess.com,2023.07.12,-,jibrealfiaraz,gvelkua,1-0,765,,732,,,,jibrealfiaraz,765,gvelkua,732,33,,jibrealfiaraz won on time,180,,,,,2023-07-21T17:47:18+0000,blitz.pgn
40b75a7b-c0df-41b7-b699-16d2a2df7d47,5,Live Chess,Chess.com,2023.07.12,-,jibrealfiaraz,anton9929,1-0,772,,729,,,,jibrealfiaraz,772,anton9929,729,43,,jibrealfiaraz won on time,180,,,,,2023-07-21T17:47:18+0000,blitz.pgn
9bc5e958-f01b-4b41-b70a-5627a8064736,6,Live Chess,Chess.com,2023.07.12,-,jibrealfiaraz,zappi90,0-1,764,,767,,,,zappi90,767,jibrealfiaraz,764,3,,zappi90 won on time,180,,,,,2023-07-21T17:47:18+0000,blitz.pgn
0c0803c9-f880-4461-82b1-817681a5d601,7,Live Chess,Chess.com,2023.07.12,-,VerneriKaasalainen,jibrealfiaraz,0-1,735,,772,,,,jibrealfiaraz,772,VerneriKaasalainen,735,37,,jibrealfiaraz won on time,180,,,,,2023-07-21T17:47:18+0000,blitz.pgn
210507d4-18ba-45f6-8e10-ec34a6f01e4b,8,Live Chess,Chess.com,2023.07.12,-,allodskostet,jibrealfiaraz,1-0,773,,764,,,,allodskostet,773,jibrealfiaraz,764,9,,allodskostet won by checkmate,180,,,,,2023-07-21T17:47:18+0000,blitz.pgn
4a9ad6b1-c06e-41fd-b820-10bf84565d4a,9,Live Chess,Chess.com,2023.07.12,-,Grelletus,jibrealfiaraz,0-1,761,,772,,,,jibrealfiaraz,772,Grelletus,761,11,,jibrealfiaraz won on time,180,,,,,2023-07-21T17:47:18+0000,blitz.pgn
c6156f6d-cf7d-4f25-b288-edc4ec5dc2d3,10,Live Chess,Chess.com,2023.07.12,-,jibrealfiaraz,1Kuen1,0-1,763,,752,,,,1Kuen1,752,jibrealfiaraz,763,-11,,1Kuen1 won by resignation,180,,,,,2023-07-21T17:47:18+0000,blitz.pgn
545eb934-08a4-4bd6-a53c-7f77063d50a4,11,Live Chess,Chess.com,2023.07.13,-,ronJ56,jibrealfiaraz,0-1,713,,770,,,,jibrealfiaraz,770,ronJ56,713,57,,jibrealfiaraz won by resignation,300,,,,,2023-07-21T17:47:18+0000,blitz.pgn
ff8c9ee4-4a07-44e9-a171-e967673307db,12,Live Chess,Chess.com,2023.07.13,-,jibrealfiaraz,DimChessTRX,0-1,763,,827,,,,DimChessTRX,827,jibrealfiaraz,763,64,,DimChessTRX won by resignation,300,,,,,2023-07-21T17:47:18+0000,blitz.pgn
7a4ef540-d516-4cb3-99f4-1988bcef2eb8,13,Live Chess,Chess.com,2023.07.16,-,jibrealfiaraz,moRaafatic,1-0,771,,739,,,,jibrealfiaraz,771,moRaafatic,739,32,,jibrealfiaraz won by resignation,300,,,,,2023-07-21T17:47:18+0000,blitz.pgn
df909b2e-6ec1-4feb-a15c-87b71b573f91,14,Live Chess,Chess.com,2023.07.16,-,NormalHair,jibrealfiaraz,0-1,774,,779,,,,jibrealfiaraz,779,NormalHair,774,5,,jibrealfiaraz won - game abandoned,300,,,,,2023-07-21T17:47:18+0000,blitz.pgn
ce5bd1a0-1788-4ecd-b809-624a441ed9b9,15,Live Chess,Chess.com,2023.07.16,-,Ulises-Fitzgerald,jibrealfiaraz,0-1,747,,786,,,,jibrealfiaraz,786,Ulises-Fitzgerald,747,39,,jibrealfiaraz won by checkmate,300,,,,,2023-07-21T17:47:18+0000,blitz.pgn
5217299c-c9b4-4fbd-8e0a-a8955ebc2360,16,Live Chess,Chess.com,2023.07.16,-,jibrealfiaraz,Luckycest,1/2-1/2,785,,761,,,,draw,,draw,,0,,Game drawn by stalemate,300,,,,,2023-07-21T17:47:18+0000,blitz.pgn
df9bae88-cd8d-4c00-87b1-49341e3b0b5a,17,Live Chess,Chess.com,2023.07.16,-,jibrealfiaraz,dkanomaly,1-0,794,,800,,,,jibrealfiaraz,794,dkanomaly,800,-6,,jibrealfiaraz won on time,300,,,,,2023-07-21T17:47:18+0000,blitz.pgn
ac28113c-cf92-46cd-9703-b2134395a50a,18,Live Chess,Chess.com,2023.07.16,-,roller54,jibrealfiaraz,1-0,755,,785,,,,roller54,755,jibrealfiaraz,785,-30,,roller54 won by resignation,300,,,,,2023-07-21T17:47:18+0000,blitz.pgn
c33d4a17-be0a-4cd0-9706-0a1a108a7cf5,19,Live Chess,Chess.com,2023.07.16,-,alexlamoc,jibrealfiaraz,1-0,1151,,783,,,,alexlamoc,1151,jibrealfiaraz,783,368,,alexlamoc won by checkmate,300,,,,,2023-07-21T17:47:18+0000,blitz.pgn
ca1ab99a-de09-4e6c-91ae-8a9611061e52,20,Live Chess,Chess.com,2023.07.16,-,jibrealfiaraz,LukaHokejas,1-0,785,,437,,,,jibrealfiaraz,785,LukaHokejas,437,348,,jibrealfiaraz won by resignation,300,,,,,2023-07-21T17:47:18+0000,blitz.pgn
fdab947d-7055-4f08-91ad-559794d867c2,21,Live Chess,Chess.com,2023.07.16,-,jibrealfiaraz,omk20,0-1,783,,1082,,,,omk20,1082,jibrealfiaraz,783,299,,omk20 won by checkmate,300,,,,,2023-07-21T17:47:18+0000,blitz.pgn
57b9e980-8db7-4776-a134-0730b6242186,22,Live Chess,Chess.com,2023.07.16,-,janenajdov,jibrealfiaraz,0-1,1499,,799,,,,jibrealfiaraz,799,janenajdov,1499,-700,,jibrealfiaraz won by resignation,300,,,,,2023-07-21T17:47:18+0000,blitz.pgn
34e77b86-9fd2-406d-b372-040f9ed3849a,23,Live Chess,Chess.com,2023.07.16,-,jibrealfiaraz,Kakadjan,1/2-1/2,796,,642,,,,draw,,draw,,0,,Game drawn by repetition,180+2,,,,,2023-07-21T17:47:18+0000,blitz.pgn
666a9dd7-3f82-4fbf-8af0-203d1a26c79a,24,Live Chess,Chess.com,2023.07.16,-,AnthonyVillela,jibrealfiaraz,1-0,1006,,796,,,,AnthonyVillela,1006,jibrealfiaraz,796,210,,AnthonyVillela won by resignation,180,,,,,2023-07-21T17:47:18+0000,blitz.pgn
